bairro,logradouro,n_transacoes,rs_m2_mediana
,Estrada CAMPO NOVO,18,5153
,Rua ENG SADI CASTRO,50,4572
,Rua INTENDENTE ALFREDO AZEVEDO,3,5031
,Rua PERCIO FREITAS MAESTRI,42,2831
,Rua SAO JOSEMARIA ESCRIVA,4,12925
ABERTA DOS MORR,Avenida ALTOS DO SANTA RITA,20,2690
ABERTA DOS MORR,Avenida CELESTINO BERTOLUCCI,5,2877
ABERTA DOS MORR,Avenida JUCA BATISTA,276,4459
ABERTA DOS MORR,Rua ALCEBIADES RIBEIRO,38,2507
ABERTA DOS MORR,Rua ALEXIO FAGHERAZZI,9,3967
ABERTA DOS MORR,Rua ALVARO PEDRO DA ROSA,9,4088
ABERTA DOS MORR,Rua ANTONIO PINHEIRO CABRAL,4,4398
ABERTA DOS MORR,Rua ANTONIO SPOLIDORO,4,2298
ABERTA DOS MORR,Rua ATTILIO BETTIO,8,2943
ABERTA DOS MORR,Rua CICERO VIANA,4,2774
ABERTA DOS MORR,Rua DR HERMES PACHECO,21,3144
ABERTA DOS MORR,Rua DR LAURO MIGUEL STURM,4,3557
ABERTA DOS MORR,Rua ERNESTO PORFIRIO DOS REIS,5,4655
ABERTA DOS MORR,Rua FRANCISCO MATTOS TERRES,4,4534
ABERTA DOS MORR,Rua HILARIO CRISTO,3,1870
ABERTA DOS MORR,Rua HONORATO TONIOLO,7,3389
ABERTA DOS MORR,Rua ISIDORO BETTIO,5,1634
ABERTA DOS MORR,Rua JAMES BOCACIO,5,2574
ABERTA DOS MORR,Rua JORGE BABOT MIRANDA,56,4983
ABERTA DOS MORR,Rua JULIO DIAS DE SOUZA,12,2859
ABERTA DOS MORR,Rua MARCIRIO DA SILVA BARBOSA,8,2446
ABERTA DOS MORR,Rua MARCO TULIO KALIL FERREYRO,3,4980
ABERTA DOS MORR,Rua MONSENHOR AUGUSTO DALVIT,32,5655
ABERTA DOS MORR,Rua OCIMAR ANTONIO PEREIRA,5,3479
ABERTA DOS MORR,Rua PEDRO DA SILVA NAVA,10,4160
ABERTA DOS MORR,Rua PROF DRA HEBE TOURINHO,6,3445
ABERTA DOS MORR,Rua SENADOR MONDIN,10,3077
ABERTA DOS MORR,Rua TELMO VIEIRA DE ARAUJO,4,2787
ABERTA DOS MORR,Rua THEREZINHA ROCHA DA SILVA,10,3197
ABERTA DOS MORR,Rua WERNO FINKLER,3,4394
AGRONOMIA,Avenida BENTO GONCALVES,5,6950
ANCHIETA,Rua VITOR VALPIRIO,7,3200
ARQUIPELAGO,Rua DOS PESCADORES,3,3889
AUXILIADORA,AL VICTOR ADALBERTO KESSLER,6,5945
AUXILIADORA,Alameda VICTOR ADALBERTO KESSLER,4,4325
AUXILIADORA,Avenida AMERICA,25,4596
AUXILIADORA,Avenida AUGUSTO MEYER,4,6499
AUXILIADORA,Avenida CEL LUCAS DE OLIVEIRA,13,5222
