bairro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis,giro_pct,iptu_anual_mediano
JARDIM EUROPA,12714,5433,2.34,382,1905,20.1,5339
TRES FIGUEIRAS,11808,5337,2.21,707,2535,27.9,5887
JARDIM DO SALSO,9079,2965,3.06,1131,4056,27.9,946
BOA VISTA,8783,4194,2.09,1254,5568,22.5,2267
MONT SERRAT,8548,4406,1.94,1496,6880,21.7,2547
RIO BRANCO,8435,4134,2.04,2220,10858,20.4,1897
BELA VISTA,7755,4997,1.55,1293,6679,19.4,4750
MOINHOS VENTO,7296,4265,1.71,1361,7192,18.9,2752
VILA JARDIM,6849,2533,2.7,524,3828,13.7,900
PETROPOLIS,6726,4060,1.66,4157,23665,17.6,1878
BELEM VELHO,6578,1532,4.29,55,2211,2.5,601
AUXILIADORA,6361,3891,1.63,1078,6123,17.6,1837
SAO SEBASTIAO,6265,2840,2.21,1016,4254,23.9,918
CASCATA,6078,1345,4.52,213,915,23.3,379
CHAPEU DO SOL,5970,1430,4.17,864,1303,66.3,551
CIDADE BAIXA,5897,2891,2.04,1919,11118,17.3,459
PASSO DA AREIA,5867,3041,1.93,2250,13497,16.7,833
JARDIM BOTANICO,5771,2889,2.0,1026,6685,15.3,863
HIGIENOPOLIS,5726,3366,1.7,832,6050,13.8,1729
CHACARA PEDRAS,5655,4524,1.25,398,2949,13.5,3975
PEDRA REDONDA,5641,3138,1.8,46,289,15.9,6535
MENINO DEUS,5612,3129,1.79,2891,17897,16.2,985
JARDIM LINDOIA,5605,3599,1.56,812,4163,19.5,1653
BOM FIM,5515,3127,1.76,1245,8285,15.0,928
PASSO PEDRAS,5357,1746,3.07,150,3492,4.3,285
TRISTEZA,5335,2456,2.17,1678,9176,18.3,841
INDEPENDENCIA,5317,3388,1.57,730,4478,16.3,1349
AZENHA,5193,2885,1.8,1243,7771,16.0,685
JARDIM CARVALHO,5134,2446,2.1,1324,7947,16.7,715
