bairro,logradouro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis_iptu
,RUA ENG SADI CASTRO,4572,1504,3.04,50,176
,RUA PERCIO FREITAS MAESTRI,2831,1904,1.49,42,200
ABERTA DOS MORR,RUA MONSENHOR AUGUSTO DALVIT,5655,2146,2.64,32,77
ABERTA DOS MORR,RUA JORGE BABOT MIRANDA,4983,2091,2.38,56,104
ABERTA DOS MORR,RUA MARCO TULIO KALIL FERREYRO,4980,1859,2.68,3,11
ABERTA DOS MORR,RUA ERNESTO PORFIRIO DOS REIS,4655,1772,2.63,5,64
ABERTA DOS MORR,RUA FRANCISCO MATTOS TERRES,4534,1872,2.42,4,50
ABERTA DOS MORR,AVENIDA JUCA BATISTA,4459,1498,2.98,276,291
ABERTA DOS MORR,RUA ANTONIO PINHEIRO CABRAL,4398,1871,2.35,4,25
ABERTA DOS MORR,RUA WERNO FINKLER,4394,2018,2.18,3,6
ABERTA DOS MORR,RUA PEDRO DA SILVA NAVA,4160,2002,2.08,10,36
ABERTA DOS MORR,RUA ALVARO PEDRO DA ROSA,4088,1853,2.21,9,69
ABERTA DOS MORR,RUA ALEXIO FAGHERAZZI,3967,1813,2.19,9,33
ABERTA DOS MORR,RUA DR LAURO MIGUEL STURM,3557,1706,2.08,4,19
ABERTA DOS MORR,RUA OCIMAR ANTONIO PEREIRA,3479,2018,1.72,5,13
ABERTA DOS MORR,RUA PROF DRA HEBE TOURINHO,3445,1756,1.96,6,27
ABERTA DOS MORR,RUA HONORATO TONIOLO,3389,1742,1.95,7,18
ABERTA DOS MORR,RUA THEREZINHA ROCHA DA SILVA,3197,1830,1.75,10,38
ABERTA DOS MORR,RUA DR HERMES PACHECO,3144,1939,1.62,21,171
ABERTA DOS MORR,RUA SENADOR MONDIN,3077,1716,1.79,10,24
ABERTA DOS MORR,RUA ATTILIO BETTIO,2943,1780,1.65,8,25
ABERTA DOS MORR,AVENIDA CELESTINO BERTOLUCCI,2877,1723,1.67,5,138
ABERTA DOS MORR,RUA JULIO DIAS DE SOUZA,2859,1625,1.76,12,111
ABERTA DOS MORR,RUA TELMO VIEIRA DE ARAUJO,2787,1935,1.44,4,38
ABERTA DOS MORR,RUA CICERO VIANA,2774,1542,1.8,4,27
ABERTA DOS MORR,AVENIDA ALTOS DO SANTA RITA,2690,1840,1.46,20,104
ABERTA DOS MORR,RUA JAMES BOCACIO,2574,2045,1.26,5,47
ABERTA DOS MORR,RUA ALCEBIADES RIBEIRO,2507,1301,1.93,38,214
ABERTA DOS MORR,RUA MARCIRIO DA SILVA BARBOSA,2446,1576,1.55,8,50
ABERTA DOS MORR,RUA ANTONIO SPOLIDORO,2298,1600,1.44,4,22
ABERTA DOS MORR,RUA HILARIO CRISTO,1870,1823,1.03,3,59
ABERTA DOS MORR,RUA ISIDORO BETTIO,1634,1930,0.85,5,39
AGRONOMIA,AVENIDA BENTO GONCALVES,6950,3697,1.88,5,129
ANCHIETA,RUA VITOR VALPIRIO,3200,2711,1.18,7,40
ARQUIPELAGO,RUA DOS PESCADORES,3889,3375,1.15,3,43
AUXILIADORA,AVENIDA NOVA YORK,13279,4027,3.3,102,337
AUXILIADORA,RUA AUXILIADORA,10791,5537,1.95,70,106
AUXILIADORA,RUA MATA BACELAR,9995,3640,2.75,25,174
AUXILIADORA,RUA CARLOS VON KOSERITZ,8896,4756,1.87,91,308
AUXILIADORA,RUA CAMPOS SALES,8887,5705,1.56,3,37
